time,open,high,low,close,volume,SMA_14,SMA_50
1752168240,213.11,213.15,213.03,213.1,39427,213.0,212.8
1752168300,213.09,213.16,213.05,213.12,45174,213.03,212.8
1752168360,213.11,213.25,213.07,213.23,121432,213.05,212.81
1752168420,213.24,213.29,212.95,212.97,87191,213.07,212.82
1752168480,212.96,213.05,212.94,212.99,49218,213.07,212.82
1752168540,212.99,212.99,212.85,212.99,77892,213.06,212.82
1752168600,212.99,213.07,212.94,213.02,58451,213.06,212.82
1752168660,213.03,213.05,212.8,212.82,73432,213.05,212.81
1752168720,212.83,212.89,212.63,212.65,73180,213.02,212.8
1752168780,212.64,212.72,212.56,212.69,64767,212.99,212.79
1752168840,212.69,212.76,212.59,212.61,44065,212.96,212.77
1752168900,212.62,212.67,212.44,212.65,71537,212.93,212.77
1752168960,212.65,212.7,212.59,212.62,66145,212.9,212.76
1752169020,212.62,212.77,212.61,212.73,70431,212.87,212.76
1752169080,212.72,212.86,212.7,212.83,46746,212.85,212.76
1752169140,212.86,212.95,212.82,212.83,37667,212.83,212.76
1752169200,212.84,212.91,212.81,212.88,31710,212.81,212.77
1752169260,212.88,212.99,212.86,212.91,47139,212.8,212.78
1752169320,212.91,212.93,212.81,212.9,51137,212.8,212.78
1752169380,212.91,213.12,212.87,213.06,82849,212.8,212.79
1752169440,213.08,213.14,213.0,213.09,58378,212.8,212.8
1752169500,213.11,213.18,213.03,213.09,81841,212.82,212.82
1752169560,213.09,213.15,212.94,212.97,79083,212.85,212.83
1752169620,212.99,212.99,212.8,212.85,48899,212.86,212.84
1752169680,212.85,212.85,212.64,212.71,73687,212.87,212.85
1752169740,212.71,212.94,212.71,212.88,55862,212.88,212.86
1752169800,212.91,212.91,212.68,212.78,41453,212.89,212.87
1752169860,212.79,212.8,212.66,212.66,46852,212.89,212.87
1752169920,212.66,212.66,212.53,212.6,48113,212.87,212.87
1752169980,212.61,212.65,212.45,212.53,127862,212.85,212.87
1752170040,212.55,212.55,212.34,212.43,42867,212.82,212.86
