time,open,high,low,close,volume,SMA_14,SMA_50
2025-07-31 18:25:30,210.71,210.72,210.67,210.68,23616,210.71,210.52
2025-07-31 18:26:00,210.67,210.73,210.64,210.73,19354,210.71,210.52
2025-07-31 18:26:30,210.72,210.79,210.69,210.71,32677,210.71,210.53
2025-07-31 18:27:00,210.72,210.72,210.6,210.64,16439,210.71,210.53
2025-07-31 18:27:30,210.65,210.7,210.56,210.58,19822,210.7,210.53
2025-07-31 18:28:00,210.58,210.67,210.56,210.67,15035,210.71,210.54
2025-07-31 18:28:30,210.64,210.67,210.6,210.63,11433,210.7,210.54
2025-07-31 18:29:00,210.63,210.64,210.57,210.61,26565,210.7,210.55
2025-07-31 18:29:30,210.6,210.61,210.53,210.61,26544,210.69,210.55
2025-07-31 18:30:00,210.62,210.66,210.58,210.65,26114,210.69,210.56
2025-07-31 18:30:30,210.65,210.72,210.62,210.69,31973,210.68,210.56
2025-07-31 18:31:00,210.69,210.71,210.61,210.64,16765,210.67,210.56
2025-07-31 18:31:30,210.65,210.71,210.62,210.68,20802,210.66,210.56
2025-07-31 18:32:00,210.67,210.7,210.61,210.66,41026,210.66,210.56
2025-07-31 18:32:30,210.65,210.65,210.54,210.6,17956,210.65,210.56
2025-07-31 18:33:00,210.6,210.6,210.42,210.47,52442,210.63,210.56
2025-07-31 18:33:30,210.47,210.49,210.42,210.42,23289,210.61,210.56
2025-07-31 18:34:00,210.43,210.54,210.43,210.53,23675,210.6,210.57
2025-07-31 18:34:30,210.53,210.57,210.47,210.52,26662,210.6,210.57
2025-07-31 18:35:00,210.52,210.53,210.47,210.48,19834,210.58,210.57
2025-07-31 18:35:30,210.49,210.51,210.46,210.5,13068,210.58,210.57
2025-07-31 18:36:00,210.5,210.52,210.46,210.52,17879,210.57,210.58
2025-07-31 18:36:30,210.52,210.58,210.49,210.58,12870,210.57,210.59
2025-07-31 18:37:00,210.57,210.64,210.57,210.63,16543,210.57,210.6
2025-07-31 18:37:30,210.62,210.68,210.62,210.67,16092,210.56,210.6
2025-07-31 18:38:00,210.67,210.69,210.63,210.67,17943,210.57,210.61
2025-07-31 18:38:30,210.66,210.69,210.62,210.63,24596,210.56,210.61
2025-07-31 18:39:00,210.62,210.63,210.51,210.55,13497,210.56,210.61
2025-07-31 18:39:30,210.56,210.56,210.46,210.47,11529,210.55,210.61
2025-07-31 18:40:00,210.47,210.5,210.43,210.46,14680,210.54,210.61
2025-07-31 18:40:30,210.45,210.53,210.45,210.5,11985,210.55,210.61
2025-07-31 18:41:00,210.5,210.56,210.46,210.5,20605,210.55,210.61
2025-07-31 18:41:30,210.51,210.56,210.45,210.52,37583,210.55,210.62
2025-07-31 18:42:00,210.51,210.51,210.43,210.46,10578,210.55,210.62
2025-07-31 18:42:30,210.47,210.55,210.44,210.53,18520,210.55,210.62
2025-07-31 18:43:00,210.53,210.57,210.51,210.52,24171,210.55,210.62
2025-07-31 18:43:30,210.52,210.52,210.43,210.46,14880,210.54,210.61
2025-07-31 18:44:00,210.46,210.46,210.39,210.44,22059,210.53,210.61
2025-07-31 18:44:30,210.43,210.47,210.36,210.39,24419,210.51,210.6
2025-07-31 18:45:00,210.39,210.47,210.39,210.42,24532,210.49,210.6
2025-07-31 18:45:30,210.43,210.55,210.42,210.53,12250,210.48,210.59
2025-07-31 18:46:00,210.53,210.61,210.49,210.55,23429,210.48,210.59
2025-07-31 18:46:30,210.56,210.56,210.35,210.39,30988,210.48,210.59
2025-07-31 18:47:00,210.39,210.45,210.35,210.42,19857,210.47,210.58
2025-07-31 18:47:30,210.41,210.44,210.4,210.42,14894,210.47,210.58
2025-07-31 18:48:00,210.41,210.45,210.38,210.41,15996,210.46,210.57
2025-07-31 18:48:30,210.41,210.45,210.37,210.45,22308,210.46,210.56
2025-07-31 18:49:00,210.45,210.48,210.41,210.46,22535,210.46,210.55
2025-07-31 18:49:30,210.45,210.48,210.41,210.42,15903,210.45,210.55
2025-07-31 18:50:00,210.42,210.42,210.34,210.4,16647,210.44,210.54
2025-07-31 18:50:30,210.4,210.53,210.38,210.51,17318,210.44,210.54
2025-07-31 18:51:00,210.51,210.55,210.49,210.53,22232,210.45,210.53
2025-07-31 18:51:30,210.53,210.55,210.51,210.55,19941,210.46,210.53
2025-07-31 18:52:00,210.55,210.62,210.54,210.62,16611,210.48,210.53
2025-07-31 18:52:30,210.62,210.66,210.58,210.59,26976,210.48,210.53
2025-07-31 18:53:00,210.58,210.59,210.5,210.56,28982,210.48,210.53
2025-07-31 18:53:30,210.57,210.68,210.56,210.64,36997,210.5,210.53
