time,open,high,low,close,volume,SMA_14,SMA_50
1750791600,202.42,202.54,201.99,202.15,783001,201.69,201.01
1750792500,202.16,202.52,201.94,201.96,988696,201.8,201.06
1750793400,201.96,202.29,201.84,202.22,755153,201.9,201.11
1750794300,202.22,202.33,202.04,202.21,698171,201.99,201.16
1750795200,202.21,202.27,201.44,201.49,1084791,202.0,201.19
1750796100,201.5,201.69,201.31,201.57,860829,202.04,201.23
1750797000,201.58,201.84,201.47,201.57,691038,202.07,201.26
1750797900,201.57,201.63,201.3,201.45,831581,202.07,201.29
1750798800,201.45,202.02,201.42,201.75,1353304,202.05,201.33
1750799700,201.75,201.92,201.52,201.53,796490,202.02,201.34
1750800600,201.53,201.6,200.81,200.84,1552663,201.93,201.33
1750801500,200.84,200.94,200.27,200.29,3952273,201.77,201.3
1750865400,201.45,203.67,201.2,202.27,3976994,201.7,201.31
1750866300,202.26,202.8,201.67,201.8,1765445,201.65,201.32
1750867200,201.76,201.78,201.34,201.41,1196957,201.6,201.32
1750868100,201.41,202.45,201.24,202.44,1147888,201.63,201.36
1750869000,202.44,203.18,202.26,203.09,1475391,201.69,201.41
1750869900,203.09,203.1,202.27,202.46,936043,201.71,201.45
1750870800,202.44,202.56,202.15,202.24,689997,201.76,201.5
1750871700,202.25,202.25,201.95,202.1,753124,201.8,201.54
1750872600,202.12,202.17,201.82,201.92,662207,201.83,201.58
1750873500,201.91,202.09,201.84,201.98,429776,201.87,201.62
1750874400,201.99,202.13,201.7,201.8,469069,201.87,201.65
1750875300,201.8,201.93,201.4,201.88,592096,201.89,201.69
1750876200,201.88,201.89,201.68,201.74,394510,201.96,201.72
1750877100,201.76,202.2,201.74,202.06,549444,202.08,201.73
1750878000,202.06,202.09,201.48,201.67,608941,202.04,201.73
1750878900,201.66,201.67,201.09,201.14,507419,201.99,201.73
1750879800,201.15,201.15,200.62,200.92,915891,201.96,201.71
1750880700,200.9,201.28,200.87,201.0,627821,201.86,201.7
1750881600,201.0,201.11,200.85,200.97,409294,201.71,201.68
1750882500,200.97,201.03,200.88,201.02,333093,201.6,201.67
1750883400,201.02,201.5,200.95,201.23,536682,201.53,201.67
1750884300,201.23,201.36,201.04,201.07,355363,201.46,201.67
1750885200,201.07,201.38,201.06,201.29,602646,201.41,201.67
1750886100,201.29,201.38,201.01,201.16,705856,201.35,201.66
1750887000,201.14,201.36,200.88,201.09,966275,201.3,201.64
1750887900,201.08,201.62,201.0,201.6,1875128,201.28,201.67
1750951800,201.44,202.64,199.66,200.02,3562854,201.16,201.65
1750952700,200.02,201.05,199.76,201.0,2063970,201.08,201.65
1750953600,201.02,201.35,200.63,200.68,1291572,201.01,201.64
1750954500,200.68,200.96,199.65,199.74,1627065,200.91,201.62
1750955400,199.74,200.1,199.67,199.85,1293457,200.84,201.59
1750956300,199.85,200.45,199.8,200.28,1101758,200.79,201.57
1750957200,200.3,200.51,199.86,199.95,1002868,200.71,201.52
1750958100,199.94,200.32,199.62,199.69,1233991,200.62,201.48
1750959000,199.69,200.11,199.46,200.04,1170921,200.53,201.44
1750959900,200.03,200.09,199.82,200.0,592674,200.46,201.39
1750960800,200.0,200.54,199.97,200.54,938955,200.4,201.33
1750961700,200.55,200.79,200.1,200.12,825708,200.33,201.29
1750962600,200.14,200.27,199.94,199.94,986037,200.25,201.24
1750963500,199.95,200.11,199.82,199.99,592806,200.13,201.2
1750964400,200.0,200.12,199.85,199.99,803739,200.13,201.16
1750965300,200.0,200.27,199.63,200.24,1083248,200.08,201.12
1750966200,200.25,200.44,199.97,200.24,823184,200.04,201.09
1750967100,200.22,200.71,200.03,200.63,670942,200.11,201.07
1750968000,200.64,200.96,200.43,200.92,967121,200.18,201.06
1750968900,200.92,201.36,200.9,200.98,1314447,200.23,201.05
1750969800,200.99,201.13,200.85,201.02,783177,200.31,201.04
1750970700,201.02,201.15,200.88,201.04,659472,200.41,201.03
1750971600,201.03,201.05,200.8,200.84,623028,200.46,201.03
1750972500,200.84,201.18,200.75,201.18,846185,200.55,201.05
1750973400,201.18,201.56,200.99,201.16,1205372,200.59,201.02
1750974300,201.16,201.56,200.79,200.94,3439738,200.65,201.01
1751038200,201.92,203.22,201.25,202.22,3590437,200.81,201.02
1751039100,202.23,203.14,202.09,202.8,1778891,201.01,201.03
1751040000,202.85,202.99,202.03,202.08,1610533,201.16,201.01
1751040900,202.07,202.2,201.43,201.58,1569642,201.26,200.99
1751041800,201.59,201.96,201.0,201.59,1758966,201.36,200.98
1751042700,201.59,201.6,200.85,201.2,1297821,201.4,200.96
1751043600,201.2,201.44,200.95,201.26,939053,201.42,200.95
1751044500,201.26,201.42,201.11,201.38,711543,201.45,200.94
1751045400,201.4,201.81,201.39,201.75,888612,201.5,200.93
1751046300,201.75,202.05,201.74,201.88,906312,201.56,200.93
1751047200,201.88,202.03,201.57,201.96,857181,201.64,200.94
1751048100,201.97,202.0,201.73,201.99,568718,201.7,200.94
1751049000,201.99,202.13,201.73,201.89,654013,201.75,200.94
1751049900,201.88,202.63,201.83,202.6,1083714,201.87,200.97
1751050800,202.58,202.7,202.26,202.67,911525,201.9,201.01
1751051700,202.69,202.69,202.02,202.1,862139,201.85,201.03
1751052600,202.1,202.13,201.09,201.31,1251150,201.8,201.03
1751053500,201.3,201.52,200.93,201.37,965367,201.78,201.04
1751054400,201.38,201.63,201.19,201.25,842110,201.76,201.04
1751055300,201.25,201.66,201.13,201.44,744092,201.78,201.05
1751056200,201.45,201.53,200.9,201.19,1165688,201.77,201.05
1751057100,201.18,201.27,200.79,200.91,956236,201.74,201.04
1751058000,200.91,201.43,200.84,201.35,1021666,201.71,201.05
1751058900,201.36,201.44,201.1,201.13,926935,201.65,201.04
1751059800,201.13,201.25,200.94,201.03,1094712,201.59,201.06
1751060700,201.03,201.27,200.0,201.1,3748648,201.52,201.06
1751297400,202.06,202.19,200.55,201.08,2979706,201.47,201.07
1751298300,201.09,201.19,200.62,200.76,1338321,201.34,201.09
1751299200,200.75,201.38,200.35,201.08,1638423,201.22,201.11
1751300100,201.07,201.12,200.76,201.01,1007909,201.14,201.13
1751301000,201.0,201.32,200.12,200.16,1469791,201.06,201.13
1751301900,200.16,200.21,199.59,199.97,1890705,200.96,201.14
1751302800,199.97,200.28,199.63,200.07,1233715,200.88,201.14
1751303700,200.08,200.29,199.86,199.97,819643,200.77,201.14
1751304600,199.98,200.16,199.8,200.06,1028304,200.69,201.13
1751305500,200.07,200.23,199.82,200.03,648602,200.63,201.13
1751306400,200.04,200.42,199.99,200.32,604678,200.56,201.13
1751307300,200.31,200.41,200.04,200.31,536552,200.5,201.14
1751308200,200.31,200.48,200.15,200.34,586776,200.45,201.15
1751309100,200.34,200.41,199.84,200.12,1000688,200.38,201.15
1751310000,200.12,200.27,199.95,200.09,952926,200.31,201.14
1751310900,200.09,200.19,199.94,200.16,836244,200.26,201.13
1751311800,200.16,200.33,200.08,200.3,495089,200.21,201.12
1751312700,200.3,200.34,199.9,200.27,668359,200.16,201.11
1751313600,200.28,200.49,200.27,200.42,586387,200.17,201.09
